index,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,valence,genre,duration_mins
1745,0,2001,1,0.643,0.849,2,-5.428,1,0.0526,0.0371,0,0.903,"rock, pop",2.76
1746,0,2001,1,0.643,0.849,2,-5.428,1,0.0449,0.171,0,0.437,"hip hop, pop, Dance/Electronic",2.76
1747,1,2013,1,0.781,0.853,1,-3.68,0,0.0715,0.0525,0,0.624,hip hop,4.17
1748,1,2011,1,0.766,0.442,1,-8.558,1,0.356,0.000107,6.12e-05,0.39,"hip hop, pop, R&B",3.03
1749,1,1999,1,0.922,0.909,10,-2.429,0,0.27,0.0281,0,0.309,hip hop,2.69
1750,0,2014,1,0.527,0.835,6,-5.298,1,0.0433,0.0166,0,0.654,"pop, Dance/Electronic",2.94
1751,0,2016,1,0.632,0.575,5,-6.478,1,0.029,0.0225,1.81e-06,0.188,"pop, Dance/Electronic",3.06
1752,0,2012,1,0.687,0.792,1,-4.023,0,0.0353,0.000802,0,0.864,pop,3.79
1753,0,2013,0,0.561,0.836,9,-3.939,1,0.1,0.0525,0,0.517,"hip hop, pop",3.78
1754,0,2007,1,0.433,0.959,9,-4.04,1,0.0431,0.000917,0,0.365,"rock, metal",4.49
1755,1,2000,1,0.949,0.661,5,-4.244,0,0.0572,0.0302,0,0.76,hip hop,4.74
1756,0,2003,1,0.472,0.671,4,-4.649,1,0.029,0.0129,0,0.0681,"pop, rock, metal",3.88
1757,0,1999,0,0.74,0.876,6,-6.87,0,0.0369,0.0173,0.00152,0.825,pop,4.76
1758,0,2006,0,0.272,0.203,9,-9.706,1,0.0294,0.784,0,0.172,pop,3.65
1759,1,2002,0,0.758,0.957,7,-2.281,1,0.0357,0.039,0,0.966,hip hop,4.47
1760,1,2011,1,0.591,0.889,7,-3.839,1,0.115,0.0189,0,0.65,"hip hop, pop",3.99
1761,0,2006,1,0.756,0.77,1,-3.502,1,0.0343,0.191,0,0.73,"pop, R&B",4.11
1762,0,2002,0,0.783,0.649,7,-4.127,1,0.0322,0.0209,0.00482,0.665,pop,3.43
1763,0,2010,1,0.816,0.813,6,-7.798,0,0.0664,0.0662,2.77e-06,0.436,"hip hop, pop",5.13
1764,0,2000,0,0.682,0.743,9,-10.644,0,0.165,0.35,0.000129,0.546,"pop, Dance/Electronic",5.3
1765,0,2013,0,0.645,0.878,5,-3.208,0,0.113,0.294,0,0.862,pop,3.78
1766,0,2018,0,0.755,0.769,10,-5.658,0,0.186,0.314,2.38e-06,0.642,pop,3.1
1767,0,2007,1,0.731,0.807,3,-6.492,0,0.1,0.181,0.751,0.765,"hip hop, pop, R&B",2.99
1768,1,2006,0,0.88,0.438,0,-7.562,1,0.248,0.0147,0,0.714,"hip hop, pop",5.42
1769,1,2003,1,0.871,0.597,5,-4.932,0,0.0464,0.126,0.000113,0.635,"hip hop, pop",3.9
1770,1,2001,0,0.814,0.852,2,-6.176,1,0.401,0.0958,1.32e-06,0.717,"hip hop, pop",4.92
1771,0,2000,0,0.822,0.847,10,-6.729,0,0.0917,0.0854,0,0.668,pop,3.38
1772,0,2001,0,0.321,0.511,8,-7.77,1,0.0306,0.513,0,0.17,"pop, country",3.7
1773,0,2017,0,0.857,0.8,2,-4.035,1,0.0583,0.381,0,0.966,pop,3.32
1774,0,2012,0,0.725,0.874,0,-3.715,0,0.0396,0.00262,0.000412,0.748,"hip hop, pop, Dance/Electronic",4.13
1775,0,2014,1,0.781,0.445,2,-6.061,1,0.0295,0.474,0,0.591,pop,4.69
1776,0,2007,1,0.435,0.887,9,-4.07,1,0.0636,0.000747,0,0.408,rock,3.53
1777,0,2017,0,0.458,0.905,0,-4.157,1,0.0451,0.000431,0,0.553,"pop, rock",3.51
1778,0,2018,1,0.575,0.571,1,-7.906,1,0.0439,0.0558,0,0.449,"pop, Dance/Electronic",3.3
1779,0,2016,0,0.79,0.705,0,-4.684,0,0.0383,0.0807,4.81e-05,0.501,"pop, Dance/Electronic",3.26
1780,0,2013,0,0.69,0.636,9,-6.028,0,0.0457,0.0203,0,0.8,pop,3.4
1781,0,2013,0,0.535,0.796,0,-3.446,0,0.0445,0.00473,0,0.282,"hip hop, pop",4.65
1782,0,2013,1,0.551,0.833,8,-5.217,1,0.03,0.0391,2.77e-06,0.145,"pop, Dance/Electronic",3.41
1783,0,2016,1,0.631,0.927,9,-2.787,0,0.0332,0.199,0.119,0.465,"hip hop, pop, Dance/Electronic",3.7
1784,1,2007,0,0.621,0.6,8,-6.349,1,0.576,0.277,0,0.485,"hip hop, pop",4.23
1785,0,2002,1,0.712,0.862,5,-4.612,0,0.0378,0.0525,0,0.809,pop,3.44
1786,0,2016,1,0.367,0.915,9,-3.456,0,0.0488,0.0022,5.81e-05,0.365,"hip hop, pop, Dance/Electronic",3.45
1787,0,2007,1,0.459,0.891,10,-5.057,0,0.0623,0.00511,0,0.588,rock,3.39
1788,1,1999,1,0.706,0.888,2,-6.959,1,0.0654,0.119,9.64e-05,0.714,"hip hop, pop, R&B",4.23
1789,1,2018,0,0.906,0.382,10,-12.89,0,0.269,0.18,0,0.391,hip hop,2.15
1790,1,2012,0,0.781,0.526,6,-6.985,0,0.293,0.0619,0,0.662,"hip hop, pop",3.93
1791,1,2004,1,0.571,0.739,7,-6.11,1,0.247,0.00865,5.21e-06,0.66,hip hop,3.69
1792,1,2009,0,0.789,0.55,11,-7.423,0,0.0473,0.174,0,0.696,"hip hop, pop, R&B",3.86
1793,1,2007,0,0.697,0.86,11,-5.181,1,0.43,0.0368,0,0.433,"hip hop, pop",4.4
1794,0,2017,0,0.6,0.81,0,-4.749,1,0.0479,0.00683,0.21,0.298,rock,3.12
1795,0,2005,0,0.679,0.922,2,-4.67,0,0.0294,0.000241,0.69,0.806,set(),3.16
1796,0,2010,1,0.755,0.837,2,-2.718,0,0.142,0.0991,0,0.714,"pop, Dance/Electronic",3.33
1797,1,2016,1,0.603,0.725,6,-3.054,1,0.0393,0.174,0,0.304,"hip hop, pop",4
1798,0,2011,0,0.693,0.705,8,-5.747,1,0.0665,0.0228,0,0.45,pop,3.97
1799,0,2012,1,0.581,0.963,11,-4.087,1,0.0981,0.0295,0,0.788,"hip hop, pop, latin",3.4
1800,1,2014,1,0.721,0.802,1,-5.797,1,0.0583,0.0921,0,0.724,"hip hop, pop, latin",3.82
1801,0,2017,0,0.845,0.709,10,-4.547,0,0.0714,0.0233,0,0.62,"hip hop, pop",3.13
1802,1,2001,0,0.925,0.741,9,-5.827,0,0.315,0.0653,0,0.654,"hip hop, pop",4.12
1803,0,2012,1,0.604,0.787,0,-3.674,0,0.103,0.0679,0.15,0.301,"hip hop, pop, Dance/Electronic",4.08
1804,0,2011,1,0.56,0.936,3,-5.835,1,0.0439,0.00847,0,0.371,"pop, rock, Folk/Acoustic",3.63
1805,1,2010,0,0.648,0.89,0,-3.982,0,0.0523,0.0294,3.58e-06,0.321,"pop, latin",3.87
1806,0,2011,1,0.686,0.783,4,-4.977,1,0.119,0.0764,0,0.814,"hip hop, pop, rock",3.34
1807,0,2011,0,0.588,0.694,11,-4.278,0,0.0387,0.00948,0,0.271,rock,4.28
1808,1,2016,1,0.794,0.653,7,-7.839,1,0.104,0.0489,4.88e-05,0.397,"hip hop, pop, R&B",4.39
1809,0,2017,1,0.681,0.372,5,-8.237,1,0.0432,0.64,0,0.476,pop,3.35
1810,0,2006,0,0.535,0.823,6,-5.338,0,0.0431,0.0113,3.88e-06,0.685,"hip hop, pop, R&B",3.73
1811,0,2003,0,0.586,0.705,1,-4.904,0,0.0287,0.0485,0,0.459,"pop, R&B",3.96
1812,1,2006,0,0.658,0.551,1,-6.62,1,0.37,0.0043,0.000108,0.442,"hip hop, pop",3.58
1813,0,2001,0,0.464,0.922,0,-8.399,1,0.0638,0.124,0.227,0.695,Dance/Electronic,3.55
1814,0,2008,0,0.715,0.665,4,-7.736,0,0.0502,0.0996,0,0.84,"pop, R&B",3.41
1815,1,2005,1,0.552,0.846,9,-4.912,1,0.342,0.0114,0,0.554,hip hop,3.94
1816,0,2003,1,0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.924,pop,3.31
1817,1,2015,1,0.746,0.873,7,-3.803,1,0.128,0.0244,0,0.817,"hip hop, pop",3.7
1818,1,2012,1,0.874,0.692,5,-5.28,0,0.0431,0.0412,7.24e-05,0.937,pop,2.98
1819,0,2017,1,0.444,0.819,10,-4.078,0,0.341,0.106,0,0.747,pop,3.13
