song,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Against All Odds (Take A Look at Me Now) (feat. Westlife),-5.599,1,0.0315,0.584,0,0.103,0.373,117.338,"pop, R&B"
Fill Me In,-6.981,1,0.0365,0.376,0.00951,0.06,0.827,132.493,"hip hop, pop, R&B"
I Turn to You,-8.356,1,0.0376,0.38,0,0.111,0.298,127.177,pop
American Pie,-7.48,0,0.036,0.348,0,0.135,0.591,124.036,pop
Otherside,-3.265,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229,rock
I Like It,-8.529,1,0.0617,0.0101,0.000113,0.0272,0.852,129.963,"hip hop, pop, R&B"
7 Days,-7.499,0,0.0487,0.23,0,0.0951,0.888,83.014,"hip hop, pop, R&B"
Maria Maria (feat. The Product G&B),-5.931,1,0.126,0.0406,0.00201,0.0348,0.68,97.911,"rock, blues, latin"
Don't Think I'm Not,-8.196,1,0.0445,0.0661,0,0.0394,0.433,134.007,"pop, R&B"
There You Go,-6.729,0,0.0917,0.0854,0,0.0452,0.668,107.908,pop
Shalala Lala,-5.802,1,0.0328,0.0504,0.00308,0.0395,0.973,124.017,pop
Life Is A Rollercoaster,-8.923,1,0.0302,0.1,0.000124,0.334,0.862,118.981,"pop, rock"
Don't Call Me Baby,-6.588,0,0.0311,0.0585,0.00689,0.35,0.961,124.999,Dance/Electronic
"Jumpin', Jumpin'",-4.639,1,0.0567,0.00543,0.00157,0.0537,0.683,88.997,"pop, R&B"
That's the Way It Is,-5.424,1,0.0434,0.154,0,0.118,0.577,93.04,pop
Kryptonite,-5.708,0,0.0286,0.00664,1.10E-05,0.168,0.543,99.009,"pop, rock, metal"
I Wish,-4.929,1,0.0337,0.0593,3.82E-05,0.107,0.224,89.824,"pop, R&B"
Shake Ya Ass,-5.658,1,0.32,0.0626,0,0.0515,0.666,98.054,"hip hop, pop"
Hemorrhage (In My Hands),-3.894,1,0.0404,0.000127,0.000341,0.24,0.332,152.034,"rock, pop, metal"
Where I Wanna Be,-9.131,0,0.0298,0.52,0,0.268,0.453,102.053,"pop, R&B"
Crash and Burn,-8.458,1,0.028,0.189,1.60E-06,0.0882,0.213,102.03,pop
My Love,-5.975,1,0.0255,0.098,0,0.257,0.328,144.142,pop
Pure Shores,-9.197,1,0.0242,0.0498,0.00042,0.0696,0.407,100.618,pop
"Independent Women, Pt. 1",-3.782,0,0.206,0.362,3.69E-06,0.169,0.927,97.954,"pop, R&B"
It's Gonna Be Me,-4.666,0,0.0801,0.0459,2.24E-06,0.0584,0.882,165.09,pop
Bag Lady,-8.964,0,0.0841,0.365,0,0.0969,0.578,151.181,"hip hop, R&B"
You Sang To Me,-5.42,1,0.0296,0.0103,2.66E-06,0.216,0.741,165.98,"pop, latin"
Bent,-6.814,0,0.0386,0.0404,3.85E-06,0.375,0.527,95.468,"pop, rock"
Rise,-9.487,1,0.026,0.315,8.83E-06,0.09,0.631,144.673,"pop, R&B"
Shape of My Heart,-4.353,1,0.0296,0.252,0,0.159,0.518,96.102,pop
With Arms Wide Open,-8.412,1,0.0302,0.00425,0.00089,0.117,0.141,138.852,"pop, rock, metal"
Breathless,-7.754,1,0.0597,0.0541,6.80E-05,0.269,0.768,126.988,"pop, Folk/Acoustic"
I Wanna Know,-5.959,0,0.0368,0.26,1.09E-05,0.431,0.599,136.086,"pop, R&B"
Teenage Dirtbag,-3.904,1,0.0495,0.346,0.000233,0.174,0.633,94.661,set()
Come on over Baby (All I Want Is You) - Radio Version,-3.205,1,0.106,0.226,1.25E-05,0.246,0.779,118.903,pop
Higher,-6.254,1,0.0364,5.15E-05,0.00014,0.206,0.431,155.827,"pop, rock, metal"
Lucky,-5.707,1,0.0317,0.262,0.000154,0.0669,0.966,95.026,pop
Country Grammar (Hot Shit),-6.822,1,0.108,0.00689,0,0.142,0.565,162.831,"hip hop, pop, R&B"
It Wasn't Me,-4.596,1,0.0713,0.0561,0,0.313,0.654,94.759,"hip hop, pop"
Survivor,-2.027,0,0.41,0.0559,0,0.775,0.619,161.109,"pop, R&B"
Stan,-4.325,0,0.238,0.0371,2.34E-06,0.518,0.507,80.063,hip hop
Can't Get You out of My Head,-7.516,0,0.0339,0.0263,0.683,0.115,0.964,126.007,"pop, Dance/Electronic"
"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",-3.769,1,0.0534,0.0144,1.49E-05,0.665,0.653,109.919,pop
I'm Like A Bird,-5.085,1,0.036,0.138,5.38E-06,0.273,0.607,89.661,"hip hop, pop, latin"
"Whenever, Wherever",-4.862,0,0.0407,0.237,1.14E-05,0.203,0.871,107.657,"pop, latin"
The Middle,-5.428,1,0.0526,0.0371,0,0.058,0.903,162.152,"rock, pop"
Drops of Jupiter (Tell Me),-5.862,1,0.0276,0.153,0,0.154,0.497,79.064,pop
It's Raining Men,-6.03,0,0.0447,0.063,0.00796,0.318,0.604,136.482,pop
Hit 'Em Up Style (Oops!),-4.983,0,0.0586,0.201,0,0.404,0.667,89.976,"pop, R&B"
I'm a Slave 4 U,-3.579,0,0.106,0.415,0.000134,0.107,0.963,110.027,pop
In Your Eyes,-6.342,0,0.0672,0.133,4.72E-05,0.0681,0.709,123.971,"pop, Dance/Electronic"
One Minute Man (feat. Ludacris),-8.419,1,0.329,0.0266,2.97E-06,0.152,0.57,93.839,"hip hop, pop, R&B"
Family Affair,-3.75,0,0.0449,0.132,4.12E-05,0.0863,0.969,92.887,"pop, R&B"
We Come 1 - Radio Edit,-10.587,0,0.0441,0.00188,0.799,0.147,0.61,135.977,"pop, Dance/Electronic"
Rollin' (Air Raid Vehicle),-3.358,1,0.171,0.00591,0,0.206,0.709,96.306,metal
Something,-6.644,0,0.0439,0.0271,8.93E-05,0.11,0.38,140.01,pop
Rapture (feat.Nadia Ali),-8.403,1,0.0377,0.0722,0.0185,0.199,0.601,123.943,Dance/Electronic
What Took You So Long?,-5.4,0,0.0307,0.123,0,0.341,0.911,118.011,pop
It's Over Now,-4.541,1,0.0409,0.0106,7.01E-06,0.0736,0.233,97.988,"hip hop, pop, R&B"
All Rise,-2.734,0,0.0324,0.121,0,0.165,0.931,97.996,pop
Irresistible,-2.771,0,0.0556,0.0285,8.84E-05,0.0552,0.669,93.013,"pop, R&B"
Butterfly,-4.17,0,0.081,0.00132,0.000142,0.107,0.609,103.502,"rock, metal"
You Rock My World,-3.132,0,0.185,0.038,0.000227,0.255,0.955,95,"pop, R&B"
Let Me Blow Ya Mind,-4.243,0,0.107,0.242,0,0.0709,0.897,90.032,"hip hop, pop, R&B"
Ain't It Funny,-4.525,0,0.0481,0.104,0.000121,0.0813,0.621,99.825,"hip hop, pop, R&B"
Another Day in Paradise - R&B-Version,-5.176,0,0.0327,0.00666,3.68E-05,0.0724,0.556,102.043,"hip hop, pop, R&B"
How You Remind Me,-5.042,1,0.033,0.00135,0,0.099,0.543,172.094,"rock, metal"
One More Time,-8.618,1,0.133,0.0194,0,0.332,0.476,122.746,"hip hop, Dance/Electronic"
Ms. Jackson,-5.946,0,0.269,0.143,0,0.0771,0.613,94.948,"hip hop, pop"
Everytime You Need Me - Radio Version,-5.459,0,0.0318,0.15,0.0676,0.34,0.79,137.029,"pop, Dance/Electronic"
Loverboy,-4.125,1,0.124,0.183,0,0.1,0.821,103.141,"pop, R&B"
Thank You,-9.942,0,0.0427,0.3,0.000238,0.0665,0.762,79.984,pop
Stutter (feat. Mystikal) - Double Take Remix,-6.516,1,0.117,0.0513,0,0.31,0.677,89.989,"pop, R&B"
Youth of the Nation,-7.533,1,0.0621,0.00834,0.0106,0.39,0.517,97.867,"rock, metal"
Play,-4.229,0,0.162,0.0303,0.00247,0.0361,0.895,104.719,"hip hop, pop, R&B"
Get Ur Freak On,-9.369,1,0.247,0.533,0.108,0.095,0.74,177.87,"hip hop, pop, R&B"
Nobody Wants to Be Lonely (with Christina Aguilera),-5.02,0,0.0612,0.00579,0.0083,0.0623,0.59,100.851,"pop, latin"
AM To PM,-3.036,0,0.12,0.153,2.26E-05,0.843,0.822,105.005,"hip hop, pop, R&B"
Another Chance,-10.029,1,0.0312,0.000211,0.146,0.138,0.45,127.993,Dance/Electronic
Clint Eastwood,-8.627,0,0.171,0.0253,0,0.0698,0.525,167.953,hip hop
Until The End Of Time,-6.665,1,0.203,0.0267,0,0.197,0.375,96.976,hip hop
Stranger in My House,-4.905,1,0.0297,0.103,0,0.147,0.206,119.94,"pop, R&B"
No More Drama,-6.818,0,0.124,0.534,7.12E-05,0.0784,0.64,97.914,"pop, R&B"
Love Don't Cost a Thing,-5.115,0,0.0707,0.00305,3.54E-06,0.473,0.685,97.577,"hip hop, pop, R&B"
Little L,-5.373,0,0.129,0.168,0.0116,0.133,0.904,121.906,pop
Missing You,-6.417,0,0.0553,0.285,0,0.0556,0.716,86.31,"hip hop, pop, R&B"
Peaches & Cream,-6.255,0,0.334,0.00277,0,0.0532,0.768,203.862,"hip hop, pop, R&B"
Let's Dance - Radio Edit,-7.853,0,0.0867,0.00876,0.000247,0.293,0.547,118.007,pop
Touch Me (Radio Edit) [feat. Cassandra],-8.399,1,0.0638,0.124,0.227,0.0546,0.695,129.078,Dance/Electronic
Smooth Criminal,-4.261,0,0.0582,0.00316,0.00512,0.144,0.87,126.928,"rock, metal"
Music (feat. Marvin Gaye),-9.053,0,0.203,0.187,1.35E-06,0.0757,0.884,100.01,"hip hop, pop"
Purple Pills,-5.941,1,0.16,0.0199,2.98E-05,0.29,0.754,125.25,"hip hop, pop, rock"
