song,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Clocks,-7.215,0,0.0279,0.599,0.0115,0.183,0.255,130.97,"rock, pop"
Work It,-5.603,1,0.283,0.0778,0,0.0732,0.584,101.868,"hip hop, pop, R&B"
If Tomorrow Never Comes,-6.136,1,0.028,0.333,0,0.0956,0.27,79.01,"pop, rock"
Still Fly,-3.538,1,0.162,0.0302,8.97E-06,0.339,0.56,177.928,"hip hop, pop"
My Sacrifice,-6.035,1,0.0504,0.000101,4.31E-06,0.076,0.257,146.349,"pop, rock, metal"
Always On Time,-6.104,0,0.199,0.208,0,0.242,0.839,96.673,"hip hop, pop, R&B"
Foolish,-5.763,1,0.0532,0.347,0,0.106,0.707,90.119,"hip hop, pop, R&B"
Sk8er Boi,-4.417,1,0.0482,6.79E-05,0,0.358,0.484,149.937,pop
Heaven,-5.601,1,0.0548,0.0011,0.000606,0.226,0.601,137.965,pop
"I'm Not a Girl, Not Yet a Woman",-6.857,1,0.0245,0.579,0,0.112,0.418,78.996,pop
Oh Boy,-5.586,1,0.145,0.0216,0,0.172,0.828,83.014,"hip hop, pop"
By the Way,-4.938,1,0.107,0.0264,0.00355,0.102,0.198,122.444,rock
A Little Less Conversation - JXL Radio Edit Remix,-5.972,0,0.0502,0.000385,0.205,0.133,0.717,114.999,"rock, easy listening"
The Tide Is High - Radio Mix,-4.127,1,0.0322,0.0209,0.00482,0.067,0.665,103.997,pop
Girlfriend,-5.191,0,0.0884,0.0887,1.49E-05,0.0283,0.858,93.967,pop
Somethin' Stupid,-12.185,1,0.0261,0.429,5.62E-06,0.174,0.677,106.191,"pop, rock"
Hands Clean,-5.428,1,0.0299,0.00192,2.83E-06,0.504,0.52,99.952,"pop, Folk/Acoustic"
U Don't Have to Call,-4.958,1,0.0459,0.0478,3.57E-05,0.0304,0.806,100.005,"hip hop, pop, R&B"
One Last Breath - Radio Version,-6.094,1,0.0365,0.00571,0.00015,0.3,0.202,130.581,"pop, rock, metal"
Here Is Gone,-5.178,1,0.0322,0.00052,0.000512,0.109,0.221,102.192,"pop, rock"
She Hates Me,-5.433,1,0.0323,0.00935,0,0.753,0.584,109.781,"rock, metal"
Rollout (My Business),-8.73,1,0.235,0.0949,0,0.592,0.892,131.059,"hip hop, pop"
Crossroads - Radio Edit,-5.153,1,0.042,0.109,0,0.325,0.502,144.188,set()
Wasting My Time,-5.529,1,0.0312,0.00138,0,0.0677,0.17,147.973,"rock, pop, metal"
All You Wanted,-9.101,1,0.0286,0.00466,0.00303,0.122,0.652,96.103,"pop, Folk/Acoustic"
If You're Not The One,-7.608,1,0.0292,0.504,0,0.111,0.27,119.998,pop
Escape,-5.305,1,0.0297,0.0277,0.000244,0.135,0.868,125.972,"pop, latin"
Blurry,-4.537,0,0.0562,0.00691,0,0.14,0.499,157.469,"rock, metal"
In My Place,-5.455,1,0.0278,0.0553,4.95E-06,0.298,0.193,144.636,"rock, pop"
The Whole World (feat. Killer Mike),-6.176,1,0.401,0.0958,1.32E-06,0.0288,0.717,184.682,"hip hop, pop"
Don't Let Me Get Me - Radio Edit,-4.754,0,0.0756,0.00234,0,0.0621,0.615,98.525,pop
In Da Club,-2.752,0,0.366,0.255,0,0.0708,0.777,90.051,"hip hop, pop"
Get Busy,-4.143,0,0.036,0.615,0,0.158,0.726,100.202,"hip hop, pop"
"Lose Yourself - From ""8 Mile"" Soundtrack",-4.616,1,0.264,0.00921,0.00066,0.342,0.0596,171.355,hip hop
Crazy In Love (feat. Jay-Z),-6.596,0,0.226,0.00249,0,0.0715,0.681,99.165,"pop, R&B"
Big Yellow Taxi,-4.315,1,0.0494,0.00204,0,0.137,0.827,88.029,"rock, pop"
Where Is The Love?,-3.18,1,0.184,0.101,0,0.132,0.828,94.059,"hip hop, pop"
Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,-5.448,1,0.188,0.00733,5.04E-06,0.0575,0.96,100,"hip hop, pop, R&B"
Shut Up,-3.966,1,0.243,0.0637,0,0.237,0.561,112.968,"hip hop, pop"
All The Things She Said,-5.767,0,0.0474,0.0411,0.00599,0.105,0.381,179.92,pop
Satisfaction (Isak Original Extended) - Benny Benassi Presents The Biz,-3.626,1,0.104,0.163,0.145,0.0745,0.339,130.017,"pop, Dance/Electronic"
I Know What You Want (feat. Flipmode Squad),-4.315,1,0.306,0.0142,0,0.648,0.518,85.996,"hip hop, pop"
Mundian to Bach Ke,-4.951,0,0.0371,0.399,0.792,0.15,0.942,98.077,"World/Traditional, hip hop"
Scandalous - U.S. Radio Edit,-3.935,0,0.0349,0.0526,0,0.0925,0.651,99.971,"pop, Dance/Electronic"
03' Bonnie & Clyde,-5.148,0,0.314,0.23,0,0.15,0.327,89.64,hip hop
P.I.M.P.,-3.024,0,0.346,0.0521,4.35E-06,0.0368,0.848,84.722,"hip hop, pop"
Superstar,-6.93,1,0.0356,0.0457,0,0.0357,0.824,110.01,pop
Faint,-3.554,1,0.131,0.111,0,0.0731,0.594,135.095,"rock, metal"
X Gon' Give It To Ya,-3.09,0,0.183,0.0135,0,0.0719,0.673,95.027,"hip hop, pop"
Bring Me To Life,-3.188,0,0.0698,0.00721,2.06E-06,0.242,0.296,94.612,metal
Hole In The Head,-4.629,0,0.0309,0.0303,0,0.137,0.962,125.011,"pop, R&B"
Rise & Fall (feat. Sting),-7.51,0,0.0586,0.252,0,0.661,0.808,83.373,"hip hop, pop, R&B"
I Hate Everything About You,-5.157,0,0.0421,0.00461,0,0.139,0.453,89.342,"rock, metal"
Get Low,-8.019,1,0.0396,0.022,0,0.194,0.12,101.043,"hip hop, pop"
"Bump, Bump, Bump (feat. P. Diddy)",-6.02,0,0.21,0.1,0,0.049,0.889,95.508,"hip hop, pop, R&B"
Suga Suga,-3.041,0,0.268,0.688,8.43E-06,0.0841,0.535,82.331,"hip hop, pop, R&B, latin"
Miss You - Main,-9.867,1,0.0375,0.618,0,0.234,0.511,109.598,"hip hop, pop, R&B"
Me Against the Music (feat. Madonna) - LP Version / Video Mix,-6.635,0,0.089,0.32,0,0.213,0.85,120.046,pop
Sorry Seems To Be The Hardest Word,-6.814,0,0.0305,0.183,2.19E-06,0.38,0.442,78.955,pop
Lost Without You,-6.682,1,0.0283,0.0365,1.69E-06,0.193,0.514,146.301,pop
Rock Your Body,-6.055,0,0.141,0.201,0.000234,0.0521,0.817,100.972,pop
Seven Nation Army,-7.627,0,0.0805,0.00601,0.447,0.306,0.313,123.904,"rock, blues"
Damn! (feat. Lil' Jon) - Club Mix,-5.799,0,0.307,0.0149,0,0.355,0.518,84.038,"hip hop, pop"
Baby Boy (feat. Sean Paul),-9.17,1,0.22,0.0825,1.16E-06,0.221,0.791,91.025,"pop, R&B"
Magic Stick,-7.872,1,0.272,0.116,4.49E-05,0.268,0.502,92.98,"hip hop, pop, R&B"
Can't Hold Us Down (feat. Lil' Kim),-4.481,1,0.192,0.0326,0.00181,0.0651,0.538,98.989,pop
Someday,-5.659,0,0.0391,0.000616,0.000247,0.226,0.597,163.118,"rock, metal"
U Make Me Wanna - Radio Edit,-6.228,1,0.0329,0.325,0,0.137,0.848,158.108,pop
Rain On Me,-3.103,0,0.0337,0.343,1.89E-06,0.0757,0.509,83.701,"hip hop, pop, R&B"
Headstrong,-5.819,0,0.117,0.000172,2.78E-06,0.189,0.534,184.981,"rock, metal"
Sunrise,-5.123,0,0.029,0.00189,0.201,0.0859,0.917,105.987,"rock, R&B, Folk/Acoustic, pop"
"Never Leave You (Uh Oooh, Uh Oooh)",-6.197,1,0.362,0.0391,0.712,0.0798,0.777,199.958,"pop, R&B"
Sound Of The Underground,-5.861,1,0.0365,0.00344,4.67E-05,0.328,0.88,163.944,"pop, Dance/Electronic"
Shake Ya Tailfeather (feat. P. Diddy & Murphy Lee) - 2016 Remaster,-4.749,1,0.295,0.176,0,0.169,0.907,87.025,"hip hop, pop, R&B"
Make Luv,-4.92,1,0.116,0.0111,0.63,0.0367,0.648,124.814,Dance/Electronic
Be Faithful,-6.488,1,0.295,0.000787,0,0.318,0.629,101.129,hip hop
Behind Blue Eyes,-6.66,1,0.0271,0.497,0,0.119,0.0902,120.315,metal
Too Lost In You,-4.904,0,0.0287,0.0485,0,0.15,0.459,98.014,"pop, R&B"
"Wanksta - From ""8 Mile"" Soundtrack",-3.552,1,0.2,0.0199,0,0.141,0.873,81.008,"hip hop, pop"
Frontin' (feat. Jay-Z) - Club Mix,-5.913,0,0.13,0.453,1.57E-06,0.0801,0.759,102.009,"hip hop, pop"
Right Thurr,-3.977,1,0.253,0.15,0,0.0614,0.891,92.074,"hip hop, pop, R&B"
Sing For The Moment,-4.164,0,0.137,0.0017,3.05E-06,0.0426,0.185,163.961,hip hop
The Jump Off (feat. Mr. Cheeks) - Remix,-8.831,1,0.339,0.178,4.65E-06,0.0553,0.935,104.946,"hip hop, pop, R&B"
My Love Is Like...Wo - Main Mix,-6.491,1,0.109,0.194,1.24E-05,0.309,0.722,132.817,"pop, R&B"
21 Questions,-3.846,0,0.299,0.349,9.37E-05,0.0427,0.895,92.729,"hip hop, pop"
Air Force Ones,-9.74,0,0.317,0.0847,0,0.079,0.618,164.062,"hip hop, pop, R&B"
Gossip Folks (feat. Ludacris),-5.264,1,0.505,0.362,0,0.317,0.439,121.732,"hip hop, pop, R&B"
Jump,-6.031,1,0.0346,0.00189,0.00275,0.0492,0.795,134.465,"pop, Dance/Electronic"
Pretty Green Eyes - Radio Edit,-10.284,0,0.043,0.212,0,0.0728,0.51,139.993,"pop, Dance/Electronic"
Fighter,-1.357,0,0.201,0.235,0.000353,0.552,0.45,188.899,pop
Don't Wanna Try,-7.577,0,0.0348,0.444,0,0.221,0.199,130.127,"hip hop, pop, R&B"
Beautiful,-4.936,0,0.132,0.299,0,0.0881,0.963,101.025,"hip hop, pop"
Say Yes,-12.932,0,0.0743,0.211,1.42E-06,0.113,0.428,117.901,"hip hop, pop, R&B"
In Those Jeans,-5.873,1,0.0776,0.508,0,0.0753,0.319,127.683,"hip hop, pop, R&B"
Danger! High Voltage - Soulchild Radio Mix,-4.722,0,0.0302,1.92E-05,0.166,0.0517,0.511,123.005,rock
Sweet Dreams My LA Ex - Radio Edit,-3.587,1,0.138,0.0733,0.00144,0.0936,0.908,130.036,"pop, Dance/Electronic"
Stand Up,-4.855,1,0.349,0.367,0,0.0916,0.801,99.057,"hip hop, pop"
I Can,-3.914,0,0.182,0.103,0,0.0666,0.694,95.313,hip hop
When I'm Gone,-5.611,1,0.0284,0.00385,0,0.103,0.374,148.095,"pop, rock, metal"
How You Gonna Act Like That,-3.657,0,0.0457,0.107,0,0.0692,0.525,112.913,"hip hop, pop, R&B"
Cry Me a River,-6.582,0,0.183,0.577,0,0.104,0.564,73.898,pop
Mandy,-5.08,1,0.0278,0.254,9.25E-05,0.11,0.376,105.678,pop
It's My Life,-5.074,0,0.0282,0.00202,0.00118,0.328,0.783,126.326,"rock, pop"
Angel,-6.849,1,0.0473,0.506,0,0.157,0.352,143.772,"pop, R&B"
Excuse Me Miss,-5.531,1,0.286,0.0305,0,0.0884,0.887,92.849,hip hop
Clocks,-7.215,0,0.0279,0.599,0.0115,0.183,0.255,130.97,"rock, pop"
Stole,-4.984,0,0.0594,0.00676,4.26E-06,0.174,0.477,79.993,"hip hop, pop, R&B"
Work It,-5.603,1,0.283,0.0778,0,0.0732,0.584,101.868,"hip hop, pop, R&B"
Rock Wit U (Awww Baby),-3.006,0,0.0582,0.408,0,0.16,0.849,94.998,"hip hop, pop, R&B"
Move Your Feet,-2.623,1,0.0803,0.046,0.106,0.203,0.846,118.877,pop
Like a Stone,-5.477,0,0.0276,0.00797,0,0.0997,0.516,107.849,"rock, metal"
Like Glue,-5.038,1,0.319,0.0811,0,0.113,0.59,97.917,"hip hop, pop"
Put That Woman First,-8.804,0,0.132,0.492,0,0.184,0.513,78.935,"pop, R&B"
All I Have (feat. LL Cool J),-5.265,1,0.107,0.271,0,0.158,0.446,83.066,"hip hop, pop, R&B"
So Gone,-6.863,1,0.0981,0.176,0,0.252,0.586,81.975,"pop, R&B"
White Flag,-6.823,1,0.0401,0.327,3.30E-06,0.081,0.294,169.951,pop
The Seed (2.0),-2.281,1,0.0357,0.039,0,0.133,0.966,111.121,hip hop
Holidae In,-5.909,1,0.181,0.0893,0,0.0838,0.948,153.067,"hip hop, pop, R&B"
Can't Let You Go (feat. Mike Shorey & Lil' Mo),-6.569,1,0.458,0.231,0,0.0794,0.811,192.082,"hip hop, pop, R&B"
Miss Independent,-6.359,0,0.137,0.0769,0.000415,0.0706,0.592,175.943,"pop, R&B"
Mesmerize,-6.653,1,0.199,0.0566,0,0.406,0.433,90.079,"hip hop, pop, R&B"
Unwell,-5.263,0,0.0403,0.0298,0,0.707,0.429,80.718,"pop, rock"
The Way You Move (feat. Sleepy Brown),-4.932,0,0.0464,0.126,0.000113,0.0638,0.635,125.999,"hip hop, pop"
Into You (feat. Tamia),-7.886,0,0.0523,0.233,0,0.118,0.58,182.12,"hip hop, pop, R&B"
Meant to Live,-4.577,1,0.0457,0.00575,1.60E-06,0.362,0.556,151.551,"rock, pop"
If You're Not The One,-7.608,1,0.0292,0.504,0,0.111,0.27,119.998,pop
Lifestyles of the Rich & Famous,-3.685,1,0.0374,0.00043,0,0.0686,0.609,106.22,"rock, metal"
No Letting Go,-5.656,0,0.0444,0.0479,0.000215,0.177,0.317,100.215,"hip hop, R&B"
Reptilia,-5.11,1,0.0336,0.000603,0.713,0.101,0.77,158.009,rock
I'm with You,-7.462,1,0.0291,0.08,0,0.117,0.208,151.95,pop
Leave Right Now,-8.674,1,0.0368,0.145,0,0.108,0.383,81.931,pop
Yeah! (feat. Lil Jon & Ludacris),-4.699,1,0.112,0.0183,0,0.0388,0.583,105.018,"hip hop, pop, R&B"
This Love,-4.612,0,0.0378,0.0525,0,0.093,0.809,95.051,pop
Toxic,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04,pop
Hey Ya!,-2.261,0,0.0664,0.103,0.000532,0.174,0.965,79.526,"hip hop, pop"
The Reason,-4.649,1,0.029,0.0129,0,0.159,0.0681,82.952,"pop, rock, metal"
Left Outside Alone,-3.567,0,0.0321,0.0697,0,0.0929,0.325,102.847,pop
Gasolina,-6.499,1,0.0618,0.332,1.20E-06,0.0789,0.753,96.009,latin
Let's Get It Started - Spike Mix,-2.208,0,0.126,0.117,0,0.292,0.797,104.923,"hip hop, pop"
Dragostea Din Tei,-3.947,1,0.0427,0.177,0,0.0577,0.672,130.103,pop
Lean Back,-3.344,1,0.415,0.11,0,0.0746,0.695,95.321,hip hop
Sick and Tired,-4.552,1,0.0373,0.00908,0,0.279,0.47,99.848,pop
What You Waiting For?,-2.557,1,0.0628,0.0509,8.19E-06,0.384,0.731,136.027,"pop, R&B"
Only U - No Intro,-5.576,0,0.0434,0.0374,1.75E-06,0.188,0.278,94.547,"hip hop, pop, R&B"
In the Shadows,-4.481,1,0.0275,0.000109,5.20E-05,0.484,0.75,105.991,metal
I Like That,-3.925,0,0.0968,0.0154,0,0.1,0.385,106.997,"hip hop, pop"
Naughty Girl,-8.65,0,0.0857,0.239,6.24E-06,0.102,0.643,99.973,"pop, R&B"
Numb,-4.153,1,0.0381,0.0046,0,0.639,0.243,110.018,"rock, metal"
On Fire,-4.289,1,0.22,0.0923,0.00057,0.24,0.429,94.857,"hip hop, pop"
Locked Up,-4.475,1,0.101,0.023,0,0.107,0.354,89.987,pop
My Band,-3.383,0,0.0828,0.497,2.05E-06,0.116,0.844,120.014,"hip hop, pop, rock"
Eyes On You - Radio Mix,-4.971,1,0.0847,0.0775,0,0.136,0.619,96.525,"hip hop, pop, R&B"
I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster,-5,0,0.0462,0.347,0.00156,0.116,0.4,97.007,pop
Lose My Breath,-5.958,1,0.0637,0.00727,0.219,0.0979,0.545,119.011,"pop, R&B"
Call on Me - Radio Mix,-6.518,1,0.375,0.00427,0.00115,0.839,0.447,126.342,"pop, Dance/Electronic"
Goodies (feat. Petey Pablo),-6.306,0,0.0491,0.0277,1.52E-06,0.298,0.872,102.017,"pop, R&B"
Trick Me,-3.347,0,0.149,0.0369,0.000389,0.326,0.962,107.17,"pop, R&B, Dance/Electronic"
Headsprung,-5.76,1,0.0284,0.0114,2.50E-05,0.0745,0.465,99.916,"hip hop, pop, R&B"
Black Betty - Edit,-6.476,0,0.0922,2.06E-05,0.591,0.219,0.35,124.047,rock
Amazing,-6.825,0,0.0394,0.0884,1.77E-06,0.117,0.88,128.429,set()
My Prerogative,-4.423,0,0.118,0.0127,1.96E-06,0.103,0.619,111.014,pop
Move Ya Body,-6.313,0,0.0432,0.0202,0.000331,0.0576,0.877,121.057,"pop, R&B"
Suga Suga,-3.041,0,0.268,0.688,8.43E-06,0.0841,0.535,82.331,"hip hop, pop, R&B, latin"
Freek-A-Leek,-3.716,1,0.254,0.0756,0,0.359,0.662,104.917,"hip hop, pop"
Dirt Off Your Shoulder,-7.147,1,0.318,0.0319,2.63E-06,0.339,0.645,163.971,hip hop
La Camisa Negra,-4.419,0,0.0308,0.0838,0,0.0556,0.973,97.007,"pop, latin"
Nobody's Home,-3.66,0,0.0497,0.000516,0,0.161,0.177,185.406,pop
Radio,-5.409,0,0.0349,0.00331,0.0494,0.26,0.846,130.015,"pop, rock"
Hey Mama,-6.345,0,0.232,0.104,1.42E-06,0.584,0.933,100.15,"hip hop, pop"
Salt Shaker,-6.022,1,0.128,0.0509,0,0.094,0.322,101.965,"hip hop, pop"
Not In Love - Radio Mix,-5.096,0,0.0395,0.0371,0,0.0519,0.886,117.021,"pop, latin"
Milkshake,-6.068,1,0.0439,0.00986,0.0346,0.206,0.759,112.968,"pop, R&B, Dance/Electronic"
Breaking the Habit,-5.218,0,0.0303,0.108,0,0.0909,0.581,100.021,"rock, metal"
Leave (Get Out) - Radio Edit,-8.691,1,0.253,0.156,6.45E-05,0.0763,0.464,86.891,"hip hop, pop, R&B"
Dip It Low,-4.207,0,0.104,0.0108,0.000536,0.0753,0.612,169.131,"hip hop, pop, R&B"
Read Your Mind,-6.696,0,0.0711,0.291,5.13E-06,0.0974,0.695,73.108,"pop, R&B"
Just Lose It,-3.56,1,0.0467,0.0581,4.04E-05,0.281,0.962,121.003,hip hop
Too Lost In You,-4.904,0,0.0287,0.0485,0,0.15,0.459,98.014,"pop, R&B"
Drop It Like It's Hot,-3.832,1,0.216,0.169,0,0.102,0.676,92.063,"hip hop, pop"
I'm Still in Love with You (feat. Sasha),-5.384,1,0.172,0.102,0,0.116,0.756,87.002,"hip hop, pop"
Lola's Theme - Radio Edit,-4.612,0,0.0536,0.00083,0.000225,0.068,0.659,123.925,Dance/Electronic
How Come,-2.221,1,0.237,0.28,0,0.188,0.547,89.983,"hip hop, pop, rock"
Good Luck,-3.092,1,0.162,0.0649,3.07E-06,0.592,0.313,154.07,"pop, Dance/Electronic"
Turn Me On,-6.879,1,0.0361,0.0405,0,0.0351,0.875,106.279,hip hop
One Call Away,-5.926,0,0.183,0.0918,0,0.217,0.962,162.519,"hip hop, pop, R&B"
Bring Em Out,-2.983,1,0.257,0.0298,0,0.141,0.587,98.579,"hip hop, pop"
Cha Cha Slide - Hardino Mix,-6.722,0,0.125,0.0436,0.00571,0.287,0.802,131.012,set()
I Believe in You,-5.087,1,0.0704,0.00277,0.048,0.329,0.418,120.939,"pop, Dance/Electronic"
Overnight Celebrity,-5.435,0,0.179,0.182,0,0.281,0.777,134.199,"hip hop, pop, R&B"
She Wants To Move,-4.831,1,0.0786,0.00402,0.000744,0.256,0.8,115.012,hip hop
Everytime,-12.852,1,0.0337,0.966,8.57E-05,0.116,0.114,109.599,pop
Vertigo,-3.974,1,0.0613,0.000138,0.00108,0.147,0.632,140.083,"World/Traditional, rock"
Take Me Out,-8.821,0,0.0377,0.000409,0.00051,0.136,0.527,104.561,rock
Tipsy - Club Mix,-5.827,0,0.315,0.0653,0,0.044,0.654,93.04,"hip hop, pop"
Wanna Get To Know You,-3.651,0,0.132,0.106,0,0.0675,0.889,76.91,"hip hop, pop"
Sunshine (feat. Lea),-9.867,1,0.0946,0.0248,0,0.131,0.792,93.961,"hip hop, pop"
Jesus Walks,-4.686,0,0.323,0.614,0,0.317,0.715,87.312,hip hop
My Immortal,-9.206,1,0.0356,0.863,0,0.134,0.101,79.012,metal
My Place,-4.237,0,0.0423,0.0498,1.49E-06,0.0982,0.642,163.153,"hip hop, pop, R&B"
If There's Any Justice,-5.348,0,0.0453,0.0128,0,0.338,0.639,89.993,R&B
It's My Life,-5.074,0,0.0282,0.00202,0.00118,0.328,0.783,126.326,"rock, pop"
Don't Tell Me,-2.92,1,0.0386,0.00462,0,0.358,0.484,144.106,pop
Slow Jamz,-5.659,0,0.171,0.314,0,0.284,0.611,145.115,"hip hop, pop, R&B"
American Idiot,-2.042,1,0.0639,2.64E-05,7.86E-05,0.368,0.769,186.113,rock
Millionaire,-6.636,1,0.108,0.0217,0,0.0374,0.75,176.051,"pop, R&B, Dance/Electronic"
Comfortably Numb,-6.466,1,0.0391,0.237,0.0167,0.104,0.788,116.972,"pop, rock, Dance/Electronic"
Diary (feat. Tony! Toni! Tone! & Jermaine Paul),-9.711,0,0.0317,0.555,0.00183,0.125,0.279,127.932,"pop, R&B"
Through The Wire,-6.11,1,0.247,0.00865,5.21E-06,0.158,0.66,83.089,hip hop
Come With Me - Radio Edit,-5.077,1,0.0803,0.13,0.00224,0.28,0.501,139.982,pop
Splash Waterfalls,-6.102,1,0.409,0.101,0,0.233,0.702,145.894,"hip hop, pop"
My Happy Ending,-2.407,1,0.0758,0.00136,0,0.369,0.74,170.229,pop
White Flag,-6.823,1,0.0401,0.327,3.30E-06,0.081,0.294,169.951,pop
Fuck It (I Don't Want You Back),-6.245,0,0.0653,0.214,3.25E-06,0.0404,0.575,68.507,set()
"Me, Myself and I",-9.092,1,0.0803,0.226,3.25E-05,0.137,0.536,83.61,"pop, R&B"
Here Without You,-6.817,0,0.0252,0.0492,0,0.205,0.233,143.994,"pop, rock, metal"
All Falls Down,-4.832,0,0.484,0.149,0,0.139,0.434,91.03,hip hop
Sunshine (feat. Anthony Hamilton),-5.337,1,0.294,0.261,0,0.348,0.819,98.523,"hip hop, pop, R&B"
The Closest Thing to Crazy,-13.2,1,0.0312,0.856,0.000296,0.0979,0.106,127.831,"pop, easy listening, jazz"
My Boo,-8.238,1,0.118,0.257,0,0.0465,0.676,86.412,"hip hop, pop, R&B"
Southside,-9.481,0,0.0818,0.377,0,0.0813,0.448,75.007,"hip hop, pop, R&B"
Take Me To The Clouds Above - LMC Vs. U2 / Radio Edit,-5.395,1,0.038,0.00232,0.0331,0.141,0.667,128.658,Dance/Electronic
Fit but You Know It,-1.729,1,0.299,0.23,0,0.0305,0.895,172.302,"hip hop, Dance/Electronic"
Slow Motion,-4.894,0,0.325,0.548,0,0.0687,0.89,172.872,"hip hop, pop"
The Way You Move (feat. Sleepy Brown),-4.932,0,0.0464,0.126,0.000113,0.0638,0.635,125.999,"hip hop, pop"
Love Machine,-4.21,1,0.0621,0.00127,0.00492,0.0753,0.697,116.02,"pop, Dance/Electronic"
With You,-4.583,1,0.108,0.0923,0,0.215,0.605,94.487,"pop, R&B"
Like Toy Soldiers,-3.489,0,0.359,0.0193,0.00034,0.104,0.398,79.178,hip hop
Mad World (Feat. Michael Andrews),-17.217,1,0.0374,0.976,0.000366,0.103,0.304,174.117,pop
Pieces Of Me,-4.286,1,0.0773,0.0572,0,0.11,0.772,174.001,pop
Leave Right Now,-8.674,1,0.0368,0.145,0,0.108,0.383,81.931,pop
You Don't Know My Name,-8.264,1,0.187,0.59,0.00443,0.342,0.249,167.078,"pop, R&B"
We Belong Together,-7.918,1,0.0629,0.0264,0,0.0865,0.767,139.987,"pop, R&B"
Let Me Love You,-8.97,0,0.0922,0.235,0,0.118,0.556,94.514,"pop, R&B"
Gold Digger,-5.572,0,0.348,0.0195,0,0.0554,0.623,93.034,hip hop
Pon de Replay,-8.415,1,0.159,0.000155,0.00077,0.101,0.498,99.019,"hip hop, pop, R&B"
Candy Shop,-7.961,1,0.466,0.0253,3.20E-05,0.38,0.755,125.173,"hip hop, pop"
You're Beautiful,-9.87,0,0.0278,0.633,1.76E-05,0.088,0.454,81.998,pop
Boulevard of Broken Dreams,-3.68,1,0.0309,0.00394,1.54E-05,0.0383,0.506,167.046,rock
Don't Cha,-3.475,1,0.099,0.00542,2.54E-06,0.127,0.549,120.003,"pop, R&B"
Bad Day,-4.013,1,0.0309,0.448,0.00336,0.151,0.52,140.046,pop
Bananza (Belly Dancer),-5.897,0,0.132,0.0345,3.37E-06,0.755,0.666,104.838,pop
Hung Up,-7.695,0,0.0452,0.0039,0.161,0.0686,0.405,125.02,pop
Just A Lil Bit,-6.672,1,0.41,0.0322,0.00608,0.315,0.527,96.946,"hip hop, pop"
Axel F,-3.321,1,0.0407,0.279,0.693,0.0648,0.786,138.045,pop
Ass Like That,-6.152,1,0.366,0.409,0,0.107,0.676,83.093,hip hop
We Be Burnin',-4.195,1,0.151,0.145,0,0.0748,0.86,117,"hip hop, pop"
Rich Girl,-2.728,0,0.0416,0.0294,1.49E-05,0.206,0.722,98.018,"pop, R&B"
Galvanize,-3.681,1,0.0751,0.0141,0.0222,0.363,0.365,104.003,Dance/Electronic
Remember the Name (feat. Styles of Beyond),-4.162,1,0.0911,0.0583,2.87E-06,0.0795,0.88,84.858,"hip hop, pop, rock"
Disco Inferno,-4.763,1,0.231,0.206,7.88E-05,0.279,0.71,97.018,"hip hop, pop"
How We Do,-7.401,0,0.251,0.0455,0,0.0332,0.637,98.012,"hip hop, pop"
Run It! (feat. Juelz Santana),-6.721,0,0.129,0.0246,0,0.393,0.212,100.969,"hip hop, pop, R&B"
It's Like That,-4.875,0,0.0514,0.0901,0,0.0315,0.836,95.953,"pop, R&B"
My Humps,-5.924,0,0.222,0.111,1.39E-05,0.109,0.586,123.95,"hip hop, pop"
Oh (feat. Ludacris),-7.135,1,0.0506,0.000298,0,0.0697,0.357,128.29,"pop, R&B"
Outta Control - Remix,-5.996,0,0.246,0.0277,0,0.0839,0.557,92.029,"hip hop, pop"
"Baby, I'm Back",-5.461,0,0.105,0.0508,0,0.097,0.749,100.01,"hip hop, pop, R&B, latin"
Get Right,-5.096,0,0.12,0.0218,0,0.628,0.362,97.084,"hip hop, pop, R&B"
Numb / Encore,-4.254,1,0.166,0.0603,0,0.582,0.751,107.045,hip hop
Hate It Or Love It,-4.781,1,0.207,0.14,0,0.123,0.435,99.998,"hip hop, pop"
Feel Good Inc.,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559,hip hop
Don't Phunk With My Heart,-2.76,0,0.061,0.00937,0,0.547,0.604,130.889,"hip hop, pop"
Lonely,-7.88,0,0.0352,0.331,0,0.238,0.619,90.098,pop
I Like The Way - Radio Edit,-3.638,1,0.0431,0.0248,0.0146,0.084,0.777,127.988,"rock, Dance/Electronic"
Push The Button,-5.096,1,0.061,0.0485,0,0.076,0.814,126.016,"pop, R&B"
Soul Survivor,-7.728,1,0.0459,0.000839,0,0.157,0.08,84.03,"hip hop, pop"
Mockingbird,-3.798,1,0.266,0.209,0,0.156,0.254,84.039,hip hop
La Tortura (feat. Alejandro Sanz),-5.367,1,0.0427,0.0297,0.000308,0.123,0.812,100.011,"pop, latin"
DARE,-5.852,0,0.0372,0.0229,0.0869,0.298,0.966,120.264,hip hop
Signs,-5.308,1,0.127,0.0319,0.00076,0.325,0.666,112.955,"hip hop, pop"
Tripping,-4.458,0,0.0429,0.0381,0.000191,0.0633,0.828,118.014,"pop, rock"
Play,-8.013,0,0.126,0.000213,0.122,0.243,0.586,95.027,"hip hop, pop"
