artist,song,duration_ms,explicit,year,popularity,danceability,energy,key
Mystikal,Shake Ya Ass,256973,TRUE,2000,57,0.914,0.607,7
Fuel,Hemorrhage (In My Hands),236866,FALSE,2000,49,0.313,0.831,1
Donell Jones,Where I Wanna Be,253626,FALSE,1999,57,0.664,0.396,5
Savage Garden,Crash and Burn,281466,FALSE,1999,54,0.581,0.607,4
Westlife,My Love,231760,FALSE,2000,68,0.491,0.593,0
All Saints,Pure Shores,268746,FALSE,2000,62,0.631,0.664,6
Destiny's Child,"Independent Women, Pt. 1",221133,FALSE,2001,65,0.73,0.602,6
*NSYNC,It's Gonna Be Me,191040,FALSE,2000,60,0.644,0.874,0
Erykah Badu,Bag Lady,348893,FALSE,2000,54,0.724,0.416,5
Marc Anthony,You Sang To Me,347106,FALSE,1999,56,0.578,0.894,10
Matchbox Twenty,Bent,256133,FALSE,2000,54,0.518,0.83,6
Gabrielle,Rise,219093,FALSE,2001,60,0.558,0.481,8
Backstreet Boys,Shape of My Heart,230093,FALSE,2000,70,0.575,0.786,9
Creed,With Arms Wide Open,274800,FALSE,1999,64,0.41,0.539,0
The Corrs,Breathless,207506,FALSE,2000,68,0.607,0.82,11
Joe,I Wanna Know,296693,FALSE,2000,65,0.725,0.487,8
Wheatus,Teenage Dirtbag,241666,TRUE,1999,71,0.625,0.85,4
Christina Aguilera,Come on over Baby (All I Want Is You) - Radio Version,203333,FALSE,1999,64,0.829,0.915,8
Creed,Higher,316733,FALSE,1999,69,0.459,0.83,2
Britney Spears,Lucky,206226,FALSE,2000,65,0.765,0.791,8
Nelly,Country Grammar (Hot Shit),287000,TRUE,2000,68,0.865,0.664,2
Shaggy,It Wasn't Me,227600,FALSE,2000,76,0.853,0.606,0
Destiny's Child,Survivor,254026,FALSE,2001,70,0.514,0.911,1
Eminem,Stan,404106,TRUE,2000,83,0.78,0.768,6
Kylie Minogue,Can't Get You out of My Head,230640,FALSE,2001,73,0.766,0.563,9
Christina Aguilera,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",264893,FALSE,2001,68,0.76,0.801,5
Nelly Furtado,I'm Like A Bird,243160,FALSE,2000,1,0.622,0.608,10
Shakira,"Whenever, Wherever",196160,FALSE,2001,74,0.794,0.832,1
Jimmy Eat World,The Middle,165853,FALSE,2001,78,0.643,0.849,2
Train,Drops of Jupiter (Tell Me),259933,FALSE,2001,77,0.481,0.638,0
Geri Halliwell,It's Raining Men,254640,FALSE,2001,62,0.637,0.929,5
Blu Cantrell,Hit 'Em Up Style (Oops!),250706,FALSE,2001,71,0.667,0.773,5
Britney Spears,I'm a Slave 4 U,203600,FALSE,2001,69,0.847,0.843,5
Kylie Minogue,In Your Eyes,197826,FALSE,2001,62,0.689,0.894,6
Missy Elliott,One Minute Man (feat. Ludacris),252986,TRUE,2001,57,0.622,0.669,9
Mary J. Blige,Family Affair,265866,FALSE,2001,76,0.911,0.551,8
